# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,gas,gas (CC),2035,wholesale gas,0.608
electricity,gas,gas (CC),2040,wholesale gas,0.617
electricity,gas,gas (CC),2045,wholesale gas,0.625
electricity,gas,gas (CC),2050,wholesale gas,0.632
electricity,gas,gas (CC),2055,wholesale gas,0.639
electricity,gas,gas (CC),2060,wholesale gas,0.646
electricity,gas,gas (CC),2065,wholesale gas,0.652
electricity,gas,gas (CC),2070,wholesale gas,0.657
electricity,gas,gas (CC),2075,wholesale gas,0.663
electricity,gas,gas (CC),2080,wholesale gas,0.668
electricity,gas,gas (CC),2085,wholesale gas,0.672
electricity,gas,gas (CC),2090,wholesale gas,0.676
electricity,gas,gas (CC),2095,wholesale gas,0.68
electricity,gas,gas (CC),2100,wholesale gas,0.684
electricity,gas,gas (steam/CT),1975,wholesale gas,0.261
electricity,gas,gas (steam/CT),1990,wholesale gas,0.3
electricity,gas,gas (steam/CT),2005,wholesale gas,0.33
electricity,gas,gas (steam/CT),2010,wholesale gas,0.377
electricity,gas,gas (steam/CT),2015,wholesale gas,0.377
electricity,gas,gas (steam/CT),2020,wholesale gas,0.385
electricity,gas,gas (steam/CT),2025,wholesale gas,0.393
electricity,gas,gas (steam/CT),2030,wholesale gas,0.4
electricity,gas,gas (steam/CT),2035,wholesale gas,0.407
electricity,gas,gas (steam/CT),2040,wholesale gas,0.413
electricity,gas,gas (steam/CT),2045,wholesale gas,0.419
electricity,gas,gas (steam/CT),2050,wholesale gas,0.425
electricity,gas,gas (steam/CT),2055,wholesale gas,0.431
electricity,gas,gas (steam/CT),2060,wholesale gas,0.436
electricity,gas,gas (steam/CT),2065,wholesale gas,0.441
electricity,gas,gas (steam/CT),2070,wholesale gas,0.446
electricity,gas,gas (steam/CT),2075,wholesale gas,0.45
electricity,gas,gas (steam/CT),2080,wholesale gas,0.455
electricity,gas,gas (steam/CT),2085,wholesale gas,0.459
electricity,gas,gas (steam/CT),2090,wholesale gas,0.463
electricity,gas,gas (steam/CT),2095,wholesale gas,0.467
electricity,gas,gas (steam/CT),2100,wholesale gas,0.47
electricity,refined liquids,refined liquids (CC),1975,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC),1990,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC),2005,refined liquids industrial,0.426
electricity,refined liquids,refined liquids (CC),2010,refined liquids industrial,0.555
electricity,refined liquids,refined liquids (CC),2015,refined liquids industrial,0.555
electricity,refined liquids,refined liquids (CC),2020,refined liquids industrial,0.568
electricity,refined liquids,refined liquids (CC),2025,refined liquids industrial,0.58
electricity,refined liquids,refined liquids (CC),2030,refined liquids industrial,0.591
electricity,refined liquids,refined liquids (CC),2035,refined liquids industrial,0.601
electricity,refined liquids,refined liquids (CC),2040,refined liquids industrial,0.611
electricity,refined liquids,refined liquids (CC),2045,refined liquids industrial,0.62
electricity,refined liquids,refined liquids (CC),2050,refined liquids industrial,0.628
electricity,refined liquids,refined liquids (CC),2055,refined liquids industrial,0.636
electricity,refined liquids,refined liquids (CC),2060,refined liquids industrial,0.643
electricity,refined liquids,refined liquids (CC),2065,refined liquids industrial,0.649
electricity,refined liquids,refined liquids (CC),2070,refined liquids industrial,0.655
electricity,refined liquids,refined liquids (CC),2075,refined liquids industrial,0.661
electricity,refined liquids,refined liquids (CC),2080,refined liquids industrial,0.666
electricity,refined liquids,refined liquids (CC),2085,refined liquids industrial,0.671
electricity,refined liquids,refined liquids (CC),2090,refined liquids industrial,0.675
electricity,refined liquids,refined liquids (CC),2095,refined liquids industrial,0.68
electricity,refined liquids,refined liquids (CC),2100,refined liquids industrial,0.683
electricity,refined liquids,refined liquids (steam/CT),1975,refined liquids industrial,0.311
electricity,refined liquids,refined liquids (steam/CT),1990,refined liquids industrial,0.35
electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.363
electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.363
electricity,refined liquids,refined liquids (steam/CT),2015,refined liquids industrial,0.363
electricity,refined liquids,refined liquids (steam/CT),2020,refined liquids industrial,0.372
electricity,refined liquids,refined liquids (steam/CT),2025,refined liquids industrial,0.38
electricity,refined liquids,refined liquids (steam/CT),2030,refined liquids industrial,0.388
electricity,refined liquids,refined liquids (steam/CT),2035,refined liquids industrial,0.395
electricity,refined liquids,refined liquids (steam/CT),2040,refined liquids industrial,0.403
electricity,refined liquids,refined liquids (steam/CT),2045,refined liquids industrial,0.409
electricity,refined liquids,refined liquids (steam/CT),2050,refined liquids industrial,0.416
electricity,refined liquids,refined liquids (steam/CT),2055,refined liquids industrial,0.422
electricity,refined liquids,refined liquids (steam/CT),2060,refined liquids industrial,0.428
electricity,refined liquids,refined liquids (steam/CT),2065,refined liquids industrial,0.433
electricity,refined liquids,refined liquids (steam/CT),2070,refined liquids industrial,0.439
electricity,refined liquids,refined liquids (steam/CT),2075,refined liquids industrial,0.444
electricity,refined liquids,refined liquids (steam/CT),2080,refined liquids industrial,0.448
electricity,refined liquids,refined liquids (steam/CT),2085,refined liquids industrial,0.453
electricity,refined liquids,refined liquids (steam/CT),2090,refined liquids industrial,0.457
electricity,refined liquids,refined liquids (steam/CT),2095,refined liquids industrial,0.461
electricity,refined liquids,refined liquids (steam/CT),2100,refined liquids industrial,0.465
electricity,biomass,biomass (conv CCS),1975,regional biomass,0.196
electricity,biomass,biomass (conv CCS),1990,regional biomass,0.196
electricity,biomass,biomass (conv CCS),2005,regional biomass,0.196
electricity,biomass,biomass (conv CCS),2010,regional biomass,0.196
electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
electricity,biomass,biomass (conv CCS),2020,regional biomass,0.217
electricity,biomass,biomass (conv CCS),2025,regional biomass,0.236
electricity,biomass,biomass (conv CCS),2030,regional biomass,0.252
electricity,biomass,biomass (conv CCS),2035,regional biomass,0.265
electricity,biomass,biomass (conv CCS),2040,regional biomass,0.277
electricity,biomass,biomass (conv CCS),2045,regional biomass,0.288
electricity,biomass,biomass (conv CCS),2050,regional biomass,0.298
electricity,biomass,biomass (conv CCS),2055,regional biomass,0.306
electricity,biomass,biomass (conv CCS),2060,regional biomass,0.314
electricity,biomass,biomass (conv CCS),2065,regional biomass,0.321
electricity,biomass,biomass (conv CCS),2070,regional biomass,0.327
electricity,biomass,biomass (conv CCS),2075,regional biomass,0.332
electricity,biomass,biomass (conv CCS),2080,regional biomass,0.338
electricity,biomass,biomass (conv CCS),2085,regional biomass,0.342
electricity,biomass,biomass (conv CCS),2090,regional biomass,0.347
electricity,biomass,biomass (conv CCS),2095,regional biomass,0.351
electricity,biomass,biomass (conv CCS),2100,regional biomass,0.354
electricity,biomass,biomass (IGCC CCS),1975,regional biomass,0.262
electricity,biomass,biomass (IGCC CCS),1990,regional biomass,0.262
electricity,biomass,biomass (IGCC CCS),2005,regional biomass,0.262
electricity,biomass,biomass (IGCC CCS),2010,regional biomass,0.262
electricity,biomass,biomass (IGCC CCS),2015,regional biomass,0.262
electricity,biomass,biomass (IGCC CCS),2020,regional biomass,0.29
electricity,biomass,biomass (IGCC CCS),2025,regional biomass,0.314
electricity,biomass,biomass (IGCC CCS),2030,regional biomass,0.334
electricity,biomass,biomass (IGCC CCS),2035,regional biomass,0.352
electricity,biomass,biomass (IGCC CCS),2040,regional biomass,0.367
electricity,biomass,biomass (IGCC CCS),2045,regional biomass,0.38
electricity,biomass,biomass (IGCC CCS),2050,regional biomass,0.392
electricity,biomass,biomass (IGCC CCS),2055,regional biomass,0.402
electricity,biomass,biomass (IGCC CCS),2060,regional biomass,0.411
electricity,biomass,biomass (IGCC CCS),2065,regional biomass,0.419
electricity,biomass,biomass (IGCC CCS),2070,regional biomass,0.426
electricity,biomass,biomass (IGCC CCS),2075,regional biomass,0.433
electricity,biomass,biomass (IGCC CCS),2080,regional biomass,0.438
electricity,biomass,biomass (IGCC CCS),2085,regional biomass,0.443
electricity,biomass,biomass (IGCC CCS),2090,regional biomass,0.448
electricity,biomass,biomass (IGCC CCS),2095,regional biomass,0.452
electricity,biomass,biomass (IGCC CCS),2100,regional biomass,0.455
electricity,coal,coal (conv pul CCS),1975,regional coal,0.292
electricity,coal,coal (conv pul CCS),1990,regional coal,0.292
electricity,coal,coal (conv pul CCS),2005,regional coal,0.292
electricity,coal,coal (conv pul CCS),2010,regional coal,0.292
electricity,coal,coal (conv pul CCS),2015,regional coal,0.292
electricity,coal,coal (conv pul CCS),2020,regional coal,0.323
electricity,coal,coal (conv pul CCS),2025,regional coal,0.349
electricity,coal,coal (conv pul CCS),2030,regional coal,0.371
electricity,coal,coal (conv pul CCS),2035,regional coal,0.39
electricity,coal,coal (conv pul CCS),2040,regional coal,0.406
electricity,coal,coal (conv pul CCS),2045,regional coal,0.42
electricity,coal,coal (conv pul CCS),2050,regional coal,0.432
